通貨指定,商品指定,期間（国内約定日）開始,期間（国内約定日）終了,明細数
"すべての通貨","すべての商品","2021年07月02日","2026年08月03日","55"
国内約定日,通貨,銘柄名,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2026年07月16日","米国ドル","スペース エクスプロレーション テクノ A SPCX / NASDAQ","買付","特定","10","134","26/07/21","1346.63"
"2026年06月23日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","50","299.5","26/06/25","14953"
"2026年06月23日","米国ドル","スペース エクスプロレーション テクノ A SPCX / NASDAQ","買付","特定","10","160.5","26/06/25","1612.94"
"2026年06月19日","米国ドル","スペース エクスプロレーション テクノ A SPCX / NASDAQ","買付","特定","10","175.33","26/06/23","1761.97"
"2026年06月03日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","50","254","26/06/05","12678"
"2026年05月25日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","50","193.5","26/05/27","9653"
"2026年05月12日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","50","186.4","26/05/14","9298"
"2026年05月07日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","100","165.5","26/05/11","16528"
"2026年04月23日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","100","105.49","26/04/27","10527"
"2026年02月05日","米国ドル","アップル AAPL / NASDAQ","売却","一般","100","275.43","26/02/09","27521"
"2025年11月20日","米国ドル","アップル AAPL / NASDAQ","売却","一般","80","270.8","25/11/25","21642"
"2025年10月09日","米国ドル","ST SPDRポートフォリオS&P500高配当株式ETF SPYD / NYSE ARCA","売却","旧NISA","45","43.69","25/10/14","1956.32"
"2025年10月09日","米国ドル","ST SPDRポートフォリオS&P500高配当株式ETF SPYD / NYSE ARCA","売却","特定","5","43.69","25/10/14","217.37"
